updates,address plainKey,account plainKeys,PatriciaContext.Branch(),PatriciaContext.Account(),PatriciaContext.Storage(),PatriciaContext.PutBranch(),L0 - Load Account/Storage,L1 - Load Account/Storage,L2 - Load Account/Storage,L3 - Load Account/Storage,L4 - Load Account/Storage,unfold/fold calls,total unfolding time (ms),total folding time (ms),total processing time (ms)
5,5,0,3,5,0,2,1131/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,2,1137/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,2,1143/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,4,1149/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,3,1155/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,4,5,0,4,1162/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,5,5,0,4,1169/0,0/0,0/0,0/0,0/0,11,0,0,0
5,5,0,5,5,0,5,1176/0,0/0,0/0,0/0,0/0,11,0,0,0
5,5,0,2,5,0,3,1181/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,2,1186/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,3,1191/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,2,1196/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,4,1201/0,0/0,0/0,0/0,0/0,11,0,0,0
5,5,0,4,5,0,2,1206/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,4,1211/0,0/0,0/0,0/0,0/0,11,0,0,0
5,5,0,4,5,0,2,1216/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,3,1221/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,3,5,0,3,1226/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,3,1231/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,3,5,0,2,1236/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,2,1242/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,4,1248/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,3,5,0,3,1254/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,4,1261/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,5,5,0,4,1268/0,0/0,0/0,0/0,0/0,11,0,0,0
5,5,0,6,5,0,5,1275/0,0/0,0/0,0/0,0/0,12,0,0,0
5,5,0,5,5,0,3,1280/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,5,5,0,4,1285/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,5,1290/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,3,1295/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,4,1301/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,5,5,0,3,1307/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,5,5,0,4,1313/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,4,1319/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,5,5,0,4,1325/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,3,1331/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,3,1338/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,4,1345/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,3,1352/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,3,1360/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,4,1368/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,4,1376/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,5,5,0,4,1384/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,3,1389/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,5,1394/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,3,1399/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,4,1405/0,0/0,0/0,0/0,0/0,11,0,0,0
5,5,0,5,5,0,3,1411/0,0/0,0/0,0/0,0/0,11,0,0,0
5,5,0,5,5,0,4,1417/0,0/0,0/0,0/0,0/0,11,0,0,0
5,5,0,4,5,0,4,1423/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,5,5,0,4,1429/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,3,1435/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,4,1442/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,5,5,0,6,1449/0,0/0,0/0,0/0,0/0,11,0,0,0
5,5,0,5,5,0,4,1456/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,4,1461/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,5,5,0,3,1466/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,5,5,0,4,1471/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,3,1476/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,4,1481/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,3,1486/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,3,1492/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,4,1498/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,3,1504/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,4,1510/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,5,5,0,4,1516/0,0/0,0/0,0/0,0/0,11,0,0,0
5,5,0,6,5,0,5,1522/0,0/0,0/0,0/0,0/0,11,0,0,0
5,5,0,4,5,0,3,1527/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,4,1532/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,4,1537/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,3,1543/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,4,1549/0,0/0,0/0,0/0,0/0,11,0,0,0
5,5,0,5,5,0,3,1555/0,0/0,0/0,0/0,0/0,11,0,0,0
5,5,0,5,5,0,4,1561/0,0/0,0/0,0/0,0/0,11,0,0,0
5,5,0,4,5,0,4,1567/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,5,5,0,4,1573/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,4,1579/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,5,5,0,3,1586/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,5,5,0,4,1593/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,4,1600/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,5,5,0,5,1607/0,0/0,0/0,0/0,0/0,11,0,0,0
5,5,0,4,5,0,4,1614/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,4,1619/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,5,5,0,4,1624/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,5,5,0,4,1629/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,3,1634/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,5,1639/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,3,1644/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,3,1650/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,3,1656/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,4,1662/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,4,1668/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,5,1675/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,5,5,0,4,1682/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,4,1687/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,5,5,0,4,1692/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,5,5,0,5,1697/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,3,1702/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,4,1707/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,5,1712/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,5,5,0,4,1717/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,3,1722/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,4,1728/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,5,5,0,5,1734/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,4,1740/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,3,1747/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,5,1754/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,5,5,0,4,1761/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,5,5,0,4,1768/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,3,1775/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,5,1782/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,4,1789/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,5,5,0,4,1797/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,4,1802/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,5,5,0,4,1807/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,4,1812/0,0/0,0/0,0/0,0/0,10,0,0,0
